"Trusted Clean Spot Care II 12-14oz",CHE-237-14,"Trusted Clean Spot Care II Aerosol Spotter<br><em>(Remove stains due to dirt, ink, grease, oil, mud, ketchup, urine, &amp; vomit!)</em><br>&#13;
· 12 - 14 ounce aerosol cans per case<br><strong>Regular Price: $48.00<br><font color=""#FF0000"">Sale Price: $39.96</font></strong><br><br><font color=""#0000FF""><strong>Click here for a copy of the <a href=""http://www.cleanfreak.com/MSDS/tc-spot-care.pdf"" target=""_blank"">Spot Care II MSDS Sheet</a>.</strong></font><br><br>&#13;
At last we are able to provide a the exact same quality spotter used by professionals to the general public. This is our #1 selling carpet spot remover. It is used by hundreds of carpet professionals around the country. Spot Care II is one of our most powerful <a href=""http://www.cleanfreak.com/Qstore/c000034.htm"">fast-acting spotter stain removers</a> that quickly dissolves away both water and oil based soils. Requires no rubbing, leaves no residue and will not soften carpet backing or upholstery cushions. Excellent as a pre-spotter prior to extractions. Just shoot at spots and stains and watch them disappear.<br><br>&#13;
Take a look at our <a href=""http://www.cleanfreak.com/procedures/resource_center.htm"">carpet cleaning tips</a> for our <a href=""http://www.cleanfreak.com/procedures/spot-remover-chart.htm"">stain removal guide</a>, which tells you what chemical to use for your particular stain. Then use our <a href=""http://www.cleanfreak.com/procedures/stain-removal-directions.htm"">spot removal process</a> for the proper removal of the stain, if it is even removable at all.<br><br><font color=""#0000FF""><strong><u>Effectively Removes:</u></strong></font><br>&#13;
· Dirt, mud, &amp; grease<br>&#13;
· Coffee, tea, &amp; kool-aid <br>&#13;
· Alcoholic beverages &amp; soft drinks<br>&#13;
· Ink &amp; oil<br>&#13;
· Ketchup<br>&#13;
· Urine<br>&#13;
· Vomit<br>&#13;
· Blood"
"Trusted Clean Blast 2 Baseboard Cleaner ",RJS-5156,"Trusted Clean Baseboard Cleaner &amp; Wax Stripper<br><i>(12 - 18 ounce cans per case)</i><br><b>Regular Price: $56.25<br><font color=""#FF0000"">Sale Price: $46.94</font></b><br><br><font color=""#0000FF""><b>Click here for a copy of the <a href=""http://www.cleanfreak.com/MSDS/tc-baseboard-stripper.pdf"" target=""_blank"">Baseboard Wax Stripper MSDS Sheet</a>.</b></font><br><br>&#13;
This citrus scented baseboard cleaner &amp; wax stripper is a high power foam cleaner that clings to vertical surfaces to break bonding. Use this baseboard cleaner on: baseboards, corners, edges, stairs, tile, porcelain, around urinals and other hard to reach areas where wax buildup occurs.  Fortified with citrus oils for increased cleaning action to mask high caustic odors. Take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000010.htm"">floor stripping chemicals</a> for stripping entire floors."
"Crystal Clean II Aerosol Glass Cleaner",CLA-C-050,"Trusted Clean ""Crystal Clean II"" Aerosol Glass Cleaner<br><em>(12 - 19 ounce cans per case)</em><br><strong>Regular Price: $46.44<br><font color=""#FF0000"">Sale Price: $34.20</font></strong><br><br><font color=""#0000FF""><strong>Click here for a copy of the <a href=""http://www.cleanfreak.com/MSDS/crystal-clean-2-glass-cleaner.pdf"" target=""_blank"">Crystal Clean II Glass Cleaner MSDS sheet</a>.</strong></font><br><br>&#13;
This product cuts grease, dirt and grime to leave windows sparkling clean and haze free. When used on other surfaces, the concentrated formula wipes off easily and leaves a sparkling shine. The Crystal Clean II also works as a general purpose cleaner for several surfaces including formica, marble, and acrylic. For more options, take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000017.htm"">glass cleaners</a>, which includes a <a href=""http://www.cleanfreak.com/Qstore/p001518.htm"">clean window glass cleaner with ammonia</a>.<br><br><font color=""#0000FF""><strong><u>Features:</u></strong></font><br>&#13;
· Contains no chlorinated solvents.<br>&#13;
· Contains no petroleum distillates.<br>&#13;
· Biodegradable.<br>&#13;
· May be used on glass, mirrors, formica, marble, acrylics &amp; plastic transparencies."
"Mr. Jinx Aerosol All Purpose Cleaner",CLA-C-031,"Mr. Jinx Aerosol All Purpose Cleaner<br><em>(12-20 oz. cans per case)</em><br>&#13;
· Floral scent<br><strong>Regular Price: $61.44<br><font color=""#FF0000"">Sale Price: $47.64</font></strong><strong><br><br><font color=""#0000FF"">Click here for a copy of the <a href=""http://www.cleanfreak.com/MSDS/claire-all-purpose-cleaner.pdf"" target=""_blank"">Mr. Jinx All Purpose Cleaner MSDS sheet</a>.</font></strong><br><br>&#13;
  This revolutionary clinging foam product from Claire dusts, cleans, and shines all in one simple step. It removes dust, smudges, smears and fingerprints, all while leaving a fresh, citrus fragrance behind. Mr. Jinx contains no wax or silicones which can cause build-up. Features a soak-in foam formula that restores life and brilliance to wood surfaces. It can also be used on laminated plastics, blinds, cabinets, appliances and paneling. Eliminates dust flyaway, cleans and leaves a lasting shine. This product is part of our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000003.htm"">all purpose cleaners</a>.<br><br><strong><font color=""#0000FF""><u>Effectively Removes:</u></font></strong><br>&#13;
  · Dirty hand prints on walls &amp; doors<br>&#13;
  · Scuff marks on floors<br>&#13;
  · Bathtub rings<br>&#13;
  · Soot / grease / oil <br>&#13;
  · Smoke film<br>&#13;
  · Many inks<br>&#13;
  · Light carbon<br>&#13;
  · Dust<br>&#13;
  · Lipstick<br> &#13;
  · Crayon marks"
"Gleme Wood Furniture Polish",CLA-C-818,"Trusted Clean Gleme Furniture Polish<br><em>(12 - 18 ounce aerosol cans per case)</em><br><strong>Regular Price: $74.52<br><font color=""#FF0000"">Sale Price: $59.16</font></strong><br><br>&#13;
Trusted Clean Gleme Furniture Polish is a quality blend of proven cleaners, 100% natural beeswax and special oils. These ingredients help to nourish  and moisturize fine wood surfaces. Gleme cleans wood waxes and polishes in one single operation.  Quickly removes dust, grease, smoke, fingerprints, smears, and smudges. Leaves a tough, high luster beeswax shine. Gleme features a fresh, pleasant lemon scent, take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000039.htm"">furniture polishes</a> for other options."
"Oil Based Stainless Steel Clean & Shine ",CHE-139-14,"Trusted Clean® Oil Based Clean and Shine Stainless Steel Cleaner<br><i>(12 - 14 ounce cans per case)</i><br><strong>Regular Price: $70.94<br><font color=""FF0000"">Sale Price: $57.46</font></strong><br><br>&#13;
A unique cleaning and polishing formulation in which every ingredient is of food grade quality. Quickly cleans and restores luster to metal surfaces. Easy to use, and contains no acids, alkalis, abrasives or heavy creams. Leaves behind a protective coating which resists finger marking and smudges. For other options, take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000040.htm"">stainless steel cleaners</a>. <br><br><strong>Use On:</strong> Kitchen appliances, washroom fixtures, restaurant and institutional equipment, drinking fountains, decorative metals surfaces, elevator doors, waste paper receptacles."
"Baywest Premium DublSoft Facial Tissue",WAU-DS6100,"Baywest DublSoft (06100) Soft Facial Tissues <br><em>(30 boxes of 100 tissues per case)</em><br><strong>Regular Price: $42.95<br><font color=""#FF0000"">Sale Price: $34.55</font></strong><br><br>&#13;
  These DublSoft 2-ply premium flat box facial tissues come 100 tissues per box, and 30 boxes per case. They offer the maximum in softness and absorbency. The packaging is sophisticated for the most upscale applications such as hotel guest rooms and office buildings. For other options, take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000047.htm"">facial tissues</a>.<br><br><strong><u><font color=""#0000FF"">Features:</font></u></strong><br>&#13;
  · Premium softness for the most sensitive noses.<br>&#13;
  · Highly absorbent 2-ply tissue.<br>&#13;
  · Packaging will complement any décor."
"Bay West Eco-Soft Roll Paper Towels",WAU-400,"Bay West Eco-Soft Roll Paper Towels<br><em>(30 rolls per case)</em><br>&#13;
· 100 sheets per roll<br><strong>Regular Price: $50.80<br><font color=""#FF0000"">Sale Price: $36.30</font></strong><br><br>&#13;
This Bay West Eco-Soft is a heavily embossed paper towel. It provides softness and absorbency for household spills, and yet has the wet strength needed for use in business and industry.  It is 100% recycled roll towel that exceeds EPA guidelines, and comes with a 100 sheets per roll, and they are packed 30 rolls per case. Take a look at our full line of <a href=""http://www.cleanfreak.com/Qstore/c000049.htm"">paper towels</a> for you restrooms, for other options."
"Baywest DublSoft  C-Fold Paper Towel",WAU-DS49,"Baywest DS49 (00049) DublSoft C-Fold Paper Towel<br><em>(2400 C-fold paper towels per case)</em><br><strong>Regular Price: $50.70<br><font color=""#FF0000"">Sale Price: $36.25</font></strong><br><br>&#13;
Our Baywest DublSoft c-fold towels absorb wetness quickly and feature a new consumer-like embossing pattern for maximum softness, strength and absorbency. This c-fold towel is best suited for hotel convention facilities, healthcare facilities and office buildings.&#13;
It has the same features as our <a href=""http://www.cleanfreak.com/Qstore/p000230.htm"">Baywest multi-fold paper towel</a>, except these are a c-fold towel, and come less per case. These c-fold towels come 200 per package, and 12 packages per case, making a total of 2400 paper towels per case. They are a standard 10-1/8"" x 13"" towel. For other options, take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000049.htm"">restroom paper towels</a>. <br><br><strong><u><font color=""#0000FF"">Features:</font></u></strong><br>&#13;
· New, consumer-like embossing.<br>&#13;
· Premium quality and remains strong when wet.<br>&#13;
· Fewer towels used costing less in the long run.<br>&#13;
· Maximum softness, strength and absorbency."
"Baywest DublSoft Multifold Paper Towels",WAU-DS48,"Baywest DS48 (00048) DublSoft Multifold Paper Towel<br><em>(3000 multifold paper towels per case)</em><br><strong>Regular Price: $50.40<br><font color=""#FF0000"">Sale Price: $36.00</font></strong><br><br>&#13;
These white DublSoft multifold paper towels come 250 towels per package, and 12 packages per case, which equal 3000 towels per case. Each individual sheet is 9-1/8"" x 9-1/2"". Leaf embossed pattern absorbs wetness quickly, and provides superior softness, and strength. This Baywest multifold paper towel is best suited for office buildings, hotel convention facilities, and healthcare facilities. Take a look at our ccomplete line of <a href=""http://www.cleanfreak.com/Qstore/c000049.htm"">restroom paper towels</a> for other Baywest products.<br><br><strong><u><font color=""#0000FF"">Features:</font></u></strong><br>&#13;
· Maximum softness, strength and absorbency.<br>&#13;
· Baywest name provides a higher basis weight.<br>&#13;
· More absorbent &amp; remains strong when wet.<br>&#13;
· Fewer towels used, costing less in the long run"
