"14 Zinc Down Pressure Mop Wringer",GEE-1025,"Geerpres 14"" Zinc Down Pressure Mop Wringer<br><em>(Prolongs mop life by not twisting it)</em><br><strong>Regular Price: $197.00<br><font color=""#FF0000"">Sale Price: $140.71</font></strong><br><br>&#13;
This 14 inch zinc down pressure mop wringer uses gravity to assist in the mop wringing. There is no splashing or overflowing, and the wringer is a zinc plated all metal construction, making it extremely tough and durable. The zinc plating also give it extreme corrosion resistance, making it a long lasting mop wringer. For other options, take a look at our <a href=""http://www.cleanfreak.com/Qstore/c000151.htm"">steel &amp; metal mop wringers</a>.<br><br>&#13;
When used in conjunction with one of our <a href=""http://www.cleanfreak.com/Qstore/c000026.htm"">steel mop buckets</a>, you'll have a very durable system that will last for years and years of use and abuse. If you're looking for something a little more economical, please take a look at our <a href=""http://www.cleanfreak.com/Qstore/c000012.htm"">plastic mop wringer &amp; bucket systems</a>.<br><br><strong>Note:</strong> We recommend that you <strong>do not</strong> mix this zinc wringer with a stainless steel bucket, because it may cause a galvanic reaction."
"14 Stainless Steel Down Press Wringer",GEE-2625,"Geerpres 14"" Stainless Steel Downward Pressure Wringer<br><em>(For wall washing and flat mopping systems)</em><br><strong>Regular Price: $701.00<br><font color=""#FF0000"">Sale Price: $500.71</font></strong><br><br>&#13;
This 14"" stainless steel downward pressure wringer fits on top of our <a href=""http://www.cleanfreak.com/Qstore/p000950.htm"">half round cleanroom mop buckets</a>. It is the perfect wringer for wall washing and flat mopping systems. The design is based on the proven function and quality of our existing <a href=""http://www.cleanfreak.com/Qstore/c000146.htm"">cleanroom mop wringers &amp; buckets</a>. The downward mop wringers outlast most side press wringers at a rate of 2-to-1."
"Geerpres Ergo Floor-Prince Mop Wringer",GEE-71010,"Geerpres® Ergo Floor-Prince® Wringer<br><em>(Ergonomic handle reduces fatigue &amp; stress)</em><br>&#13;
· 16-24 oz. mop capacity<br><strong>Regular Price: $212.00<br><font color=""#FF0000"">Sale Price: $151.43</font></strong><br><br>&#13;
The Geerpres® Ergo Floor-Prince® wringer helps protect your employees by reducing fatigue and stress due to operating the wringer. Repetitive Strain Injuries (RSIs) have cost American industry billions of dollars in medical bills and lost work time. Our Ergo <a href=""http://www.cleanfreak.com/Qstore/c000151.htm"">steel wringers</a> help combat RSIs with a unique design that requires less effort and minimum bending, yet they still deliver 95% more pressure than the leading <a href=""http://www.cleanfreak.com/Qstore/c000012.htm"">plastic bucket &amp; wringer combos</a>. Features downward-pressure action, an easy-to-handle ergonomic grip, and double-staggered metal gears for solid, slip-proof operation. Total wringer volume is 212 cubic inches, which fit 16 to 24 ounce <a href=""http://www.cleanfreak.com/Qstore/c000011.htm"">wet mops</a> perfectly.<br><br><strong>Note:</strong> This zinc electroplated steel wringer cannot be used with a stainless steel bucket, so we recommend using our <a href=""http://www.cleanfreak.com/Qstore/p000989.htm"">4</a>, <a href=""http://www.cleanfreak.com/Qstore/p000991.htm"">8</a>, or <a href=""http://www.cleanfreak.com/Qstore/p000993.htm"">11 gallon metal bucket</a>."
"Ergonomic Down Press Floor-King Wringer",GEE-71015,"Geerpres® Ergonomic Down Press Floor-King® Wringer<br><em>(Ergonomic handle reduces fatigue &amp; stress)</em><br>&#13;
· 24-36 oz. mop capacity<br><strong>Regular Price: $249.00<br><font color=""#FF0000"">Sale Price: $177.86</font></strong><br><br>&#13;
The Geerpres® Floor-King® wringer comes with an ergonomic handle and cushioned grip. This helps to reduce the fatigue and stress of the user by reducing bending and making wringing your mop out easier. The steel wringer has a volume of 279 cubic inches, which is the largest of our <a href=""http://www.cleanfreak.com/Qstore/c000151.htm"">steel mop wringers</a>. We also have compatible <a href=""http://www.cleanfreak.com/Qstore/c000026.htm"">steel mop buckets</a> available that will complete your cleaning arsenal.<br><br><strong>Note:</strong> This zinc electroplated steel wringer cannot be used with a stainless steel bucket!"
"Stainless Steel Flat Band Mop Wringer",GEE-71006,"Geerpres®  Royal-Knight® Stainless Steel Flat Band Mop Wringer<br><em>(Ergonomic handle reduces fatigue &amp; stress)</em><br>&#13;
· Flat band - use with half round buckets<br>&#13;
· 8-16 oz. mop capacity<br><strong>Regular Price: $365.00<br><font color=""#FF0000"">Sale Price: $260.72</font></strong><br><br>&#13;
This stainless steel flat band mop wringer is meant to be used with our <a href=""http://www.cleanfreak.com/Qstore/p000971.htm"">half round stainless steel mop buckets</a>. It wrings out a 8 to 16 ounce mop easily. If you need something larger, please take a look at our <a href=""http://www.cleanfreak.com/Qstore/p001006.htm"">flat band Royal-Prince mop wringer</a>, which is great for 16 to 24 ounce <a href=""http://www.cleanfreak.com/Qstore/c000011.htm"">wet mops</a>.<br><br> &#13;
When used in a two bucket system, this flat band wringer allows you to wring out your mop into a dirty bucket, and then go back to your clean water bucket and keep your clean water, ""cleaner"" for a longer period of time. Take a look at our <a href=""http://www.cleanfreak.com/procedures/wet-mopping.htm"">floor mopping instructions</a> for a step by step procedure that maximizes your mopping time."
"Stainless Down Press Mop Wringer",GEE-71009,"Geerpres® Stainless Steel Side Press Mop Wringer<br><em>(Ergonomic handle reduces fatigue &amp; stress)</em><br>&#13;
· 16-24 oz. mop capacity<br><strong>Regular Price: $485.00<br><font color=""#FF0000"">Sale Price: $346.43</font></strong><br><br>&#13;
This is the Geerpres® Royal-Prince® stainless steel side press mop wringer that comes with an ergonomic handle. This ergonomic handle helps to reduce fatigue and stress on the user, by making it easier to wring out your <a href=""http://www.cleanfreak.com/Qstore/c000011.htm"">wet mops</a>. Take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000151.htm"">metal mop wringers</a>, which give you more options, than just this stainless steel model.<br><br>&#13;
The total volume of this stainless steel side press wringer is 212 cubic inches, which is good for use with our smaller <a href=""http://www.cleanfreak.com/Qstore/c000026.htm"">metal/steel mop buckets</a>, like our <a href=""http://www.cleanfreak.com/Qstore/p000988.htm"">4 gallon galvanized round mop bucket</a>."
"Flat Band SS Royal-Prince Mop Wringer",GEE-71007,"Geerpres® Flat Band Stainless Steel Royal-Prince® Mop Wringer<br><em>(Ergonomic handle reduces fatigue &amp; stress)</em><br> &#13;
· Flat band - use with half round buckets<br>&#13;
· 16-24 oz. mop capacity<br><strong>Regular Price: $486.00<br><font color=""#FF0000"">Sale Price: $347.14</font></strong><br><br>&#13;
This Geerpres® flat band stainless steel Royal-Prince® mop wringer comes with an ergonomic down press handle that protects your employees by reducing stress and fatigue when wringing out mops. This wringer is meant to be used with our <a href=""http://www.cleanfreak.com/Qstore/p000971.htm"">half round stainless steel mop buckets</a> because of the flat band. The total volume of this stainless steel mop wringer is 212 cubic inches. For something larger or that fits on our normal <a href=""http://www.cleanfreak.com/Qstore/c000026.htm"">steel buckets</a>, please take a look at our full line of <a href=""http://www.cleanfreak.com/Qstore/c000151.htm"">steel mop wringers</a>.<br><br>&#13;
We also have a <a href=""http://www.cleanfreak.com/Qstore/p001004.htm"">stainless steel flat band mop wringer</a> that will fit 8 to 16 ounce mops, if this Royal-Prince wringer is too large for your needs."
"Sandia Sniper Box Carpet Extractor",SAN-80-2100-80-0500,"Sandia Sniper Box Extractor<br><em>(100 PSI pump, 163"" of water lift)</em><br>&#13;
· 25' hose &amp; 12"" 2-jet drag wand<br>&#13;
· 12 gallon solution / 12 gallon recovery<br>&#13;
· Non-heated carpet extractor<br><strong>Regular Price: $1962.00<br><font color=""#FF0000"">Sale Price: $1401.00</font>&#13;
</strong><br><br><strong><font color=""#0000FF"">Take a look at our &#13;
complete line of <a href=""http://www.cleanfreak.com/Qstore/c000075.htm&#13;%0A"">box style carpet extractors</a>.</font></strong>&#13;
<br><br>&#13;
The Sandia Sniper's innovative air intake system &#13;
uses the vacuum's own cooling fan to pull cool &#13;
outside air over the vacuum motors. This &#13;
innovation reduces motor temperatures by up to 18 &#13;
percent. The heated air pressurizes the motor &#13;
cavity forcing the hot air to be expelled through &#13;
the six slotted vents. Tanks &amp; housings have a 5 &#13;
year warranty, while the motors, vacuums and parts &#13;
have a 1 year warranty.<br><br><font color=""#0000FF""><strong><u>Features:</u>&#13;
</strong></font><br>&#13;
· Top mounted vents dissipate the hottest air.<br>&#13;
· Semi-pneumatic wheels for smooth, quiet &#13;
operation.<br>&#13;
· Angled vacuumed cavity removes all liquids.<br>&#13;
· Automatic vacuum restrictor.<br>&#13;
· Trigger sprayer holders for spotting chemicals &#13;
and agitation brushes.<br>&#13;
· Molded-in air deflector reduces turbulence &#13;
within the recovery tank.<br>&#13;
· Top-mounted controls and connections, recessed &#13;
for protection.<br>&#13;
· Double-sided indestructible solution access &#13;
port.<br>&#13;
· Molded lifting handles make it easier to move in &#13;
and out vehicles, as well as up and down stairs.&#13;
<br><br><font color=""#0000FF""><strong><u>Specifications:&#13;
</u></strong></font><br><strong>Vacuum Motors:</strong> 2 / 2-Stage &#13;
Vacs<br><strong>Pump:</strong> 100 PSI Pump (Flojet)<br><strong>Power Cord:</strong>  25'<br><strong>Electrical Draw:</strong> 14.5 Amps<br><strong>Weight:</strong> 100 lbs<br><strong>Water Lift:</strong> 163.6""<br><strong>Dimensions:</strong> 38""H x 20""W x &#13;
26""L<br><strong>Recovery Tank:</strong> 12 gallon<br><strong>Solution Tank:</strong> 12 gallon<br><br><font color=""0000FF""><strong>*Caring for Your &#13;
Carpet Extractor</strong></font><br>Your carpet &#13;
extractor should be winterized between uses if it &#13;
is to be exposed to freezing temperatures. To &#13;
winterize your machine, pour 1/2 gallon of &#13;
windshield wiper fluid into the empty solution &#13;
tank. Aim the spray gun into the solution tank. &#13;
Run the pump and spray the gun into the solution &#13;
tank until the fluid flows from the gun into the &#13;
tank. Then run 1 gallon of water through the &#13;
extractor before the next use."
"Basic Carpet Cleaning Package",CPT-PACKAGE1,"Basic Carpet Cleaning Package<br><em>(1 non-heated extractor, 1 air mover, &amp; 1 case of cleaning chemicals)</em><br><strong>Regular Price: $2124.95<br><s>Sale Price: $1425.45</s><br><font color=""#FF0000"">Package Price: $1359.50</font><br><em><font color=""#FF00FF"">(You receive a FREE case of chemicals, worth $65.95)</font></em></strong><br><br>&#13;
This package is the absolute minimum you would need to get into carpet cleaning. We include a non-heated carpet extractor, an air mover, and a case of assorted carpet cleaning chemicals. The chemicals will remove most stains from your carpet, and will fill your extractor about 10 times when following the mixing instructions on each individual carton. The air mover is included to help speed up the drying times of your cleaned carpets. Take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000134.htm"">carpet cleaning packages</a>, if you're looking for something a little more in depth.<br><br><hr size=""1"">
<br><table width=""575"" border=""0"" cellspacing=""0"" cellpadding=""0"" class=""verdanaLinks""><tr>
<td width=""110"" align=""center""><a href=""http://www.cleanfreak.com/Qstore/p001159.htm""><img src=""http://www.cleanfreak.com/Qimages/carpet_chemicals_free.jpg"" width=""100"" height=""60"" alt=""FREE assorted chemical carpet cleaning package, worth $65.95"" title=""FREE assorted chemical carpet cleaning package, worth $65.95""></a></td>&#13;
<td width=""465"">
<strong><a href=""http://www.cleanfreak.com/Qstore/p001159.htm"">Assorted Carpet Cleaning Extraction Chemical Package</a></strong><br><em>(You receive 1 case of assorted carpet chemicals with this package)</em><br><strong>Regular Price: $84.95<br><s>Sale Price: $65.95</s><br><font color=""#FF0000"">Your Package Price: FREE!</font></strong><br><br>This package includes all the chemicals you will need to fill your 12 gallon extractor, and clean carpets about 10 times. A <a href=""http://www.cleanfreak.com/Qstore/p000279.htm"">deep cleaning extraction detergent</a>, a <a href=""http://www.cleanfreak.com/Qstore/p000245.htm"">deodorizer</a>, an <a href=""http://www.cleanfreak.com/Qstore/p000270.htm"">enzyme</a>, a <a href=""http://www.cleanfreak.com/Qstore/p001584.htm"">defoamer</a> and an <a href=""http://www.cleanfreak.com/Qstore/p000123.htm"">aerosol spotter</a> are all included in this package. A great package for the carpet cleaning professional!<strong><font color=""#FF00FF""><em><br>You receive an assorted chemical case for FREE, a $65.95 value!</em></font></strong>
</td>&#13;
</tr></table>
<br><hr size=""1"">
<br><a href=""http://www.cleanfreak.com/Qstore/p001148.htm""><img src=""http://www.cleanfreak.com/Qstore/custom/trustedclean_12_gallon_sm.jpg"" width=""100"" height=""118"" align=""right"" alt=""12 gallon non-heated box extractor"" title=""12 gallon non-heated box extractor""></a><strong><a href=""http://www.cleanfreak.com/Qstore/p001148.htm"">Trusted Clean Deluxe 12 Gallon Box Extractor</a></strong><br><em>(100 PSI pump, 150"" of water lift)</em><br>&#13;
· 25' hose &amp; 12"" 2-jet drag wand<br>&#13;
· 12 gallon solution / 11 gallon recovery<br>&#13;
· Non-heated carpet extractor<br><strong><font color=""#0000ff"">**Gold Medal Winning Extractor**</font><br>&#13;
Regular Price: $1797.00<br><font color=""#FF0000"">Sale Price: $1192.00</font></strong><br><br><u><strong>Optional Accessories:</strong></u><br>&#13;
· <a href=""http://www.cleanfreak.com/Qstore/carpet-cleaning-chemicals.htm"">Carpet Cleaning Chemicals</a><br>&#13;
· <a href=""http://www.cleanfreak.com/Qstore/c000214.htm"">External Power Scrubbing Brushes</a><br>&#13;
· <a href=""http://www.cleanfreak.com/Qstore/c000167.htm"">Upholstery Tools &amp; Attachments</a><br><br>&#13;
This new state of the art extractor combines power and large capacity with a size and weight that make it ideal for the single operator. The Deluxe extractor's hi-tech design holds a big 12-gallon tank inside a surprisingly compact body for maximum efficiency and portability - all at a very affordable price. The most powerful model delivers the ultimate in both pressure and suction, leaving carpets clean and virtually dry in record time. Comes complete with a deluxe dual-jet stainless steel S-bend wand and 25-foot hose assembly.<br><br><table width=""560"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" class=""verdanaLinks""><tr>
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-1.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Carpet extraction in use""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-1-sm.jpg"" width=""125"" height=""125"" alt=""Carpet extraction in use""><br><center><strong>View</strong></center></a></td>&#13;
<td width=""20""> </td>&#13;
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-2.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Non-heated box extractor rear view""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-2-sm.jpg"" width=""125"" height=""125"" alt=""Non-heated box extractor rear view""><br><center><strong>View</strong></center></a></td>&#13;
<td width=""20""> </td>&#13;
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-3.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Non-heated box extractor front view""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-3-sm.jpg"" width=""125"" height=""125"" alt=""Non-heated box extractor front view""><br><center><strong>View</strong></center></a></td>&#13;
<td width=""20""> </td>&#13;
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-5.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Carpet extractor side view""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-5-sm.jpg"" width=""125"" height=""125"" alt=""Carpet extractor side view""><br><center><strong>View</strong></center></a></td>&#13;
</tr></table>
<br><table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""0"" class=""verdanaLinks"">
<tr><td colspan=""2""><font color=""#0000FF""><strong><u>Specifications:</u></strong></font></td></tr>
<tr bgcolor=""#FFFFCC"">
<td width=""30%""><strong>Solution Tank:</strong></td>
<td width=""70%"">12 gallon</td>
</tr>
<tr>
<td><strong>Recovery Tank:</strong></td>
<td>11 gallon</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Solution Pressure:</strong></td>
<td>100 PSI</td>
</tr>
<tr>
<td><strong>Vacuum Motors:</strong></td>
<td>Dual high performance 2-stage</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Water Lift:</strong></td>
<td>150""</td>
</tr>
<tr>
<td><strong>Hose Assembly:</strong></td>
<td>25 ft.</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Wand:</strong></td>
<td>Deluxe dual-jet S-bend stainless steel</td>
</tr>
<tr>
<td><strong>Dimensions:</strong></td>
<td>35"" H x 31"" L x 18"" W</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Weight:</strong></td>
<td>78 lbs.</td>
</tr>
<tr>
<td><strong>Warranty:</strong></td>
<td>Lifetime on tanks, 2 years on parts &amp; labor</td>
</tr>
</table>
<br><hr size=""1"">
<br><table width=""575"" border=""0"" cellspacing=""0"" cellpadding=""0"" class=""verdanaLinks""><tr>
<td width=""110"" align=""center""><a href=""http://www.cleanfreak.com/Qstore/p000862.htm""><img src=""http://www.cleanfreak.com/Qstore/custom/tc_3_speed_air_mover_sm.jpg"" width=""100"" height=""97"" alt=""3-Speed air mover &amp; carpet dryer"" title=""3-Speed air mover &amp; carpet dryer""></a></td>&#13;
<td width=""465"">
<strong><a href=""http://www.cleanfreak.com/Qstore/p000862.htm"">3-Speed Stackable Air Mover</a></strong><br><em>(You receive 1 stackable air mover with this package)</em><br><strong>Regular Price: $243.00<br><font color=""#FF0000"">Sale Price: $167.50</font></strong><br><br>This 3-speed air mover is a must for any carpet cleaning professional looking to improve their carpet cleaning dry times. To ensure that your customers' carpet will be dry when they return, having at least a single air mover going, if not more, will dramatically decrease that drying time.</td>&#13;
</tr></table>"
"Heated Carpet Cleaning Extractor Package",CPT-PACKAGE2,"Heated Carpet Cleaning Extractor Package<br><em>(1 heated extractor, 1 air mover, 1 stair tool &amp; 1 case of cleaning chemicals)</em><br><strong>Regular Price: $2879.95<br><s>Sale Price: $2014.45</s><br><font color=""#FF0000"">Package Price: $1922.45</font><br><em><font color=""#FF00FF"">(You receive a FREE stair tool, worth $92.00)</font></em></strong><br><br>&#13;
This heated carpet cleaning package is the ultimate starting tool for apartment complexes, hotels, and even general contractors. The 100 PSI extractor comes with an external heater to heat your water, and improve the stain removal capabilities of the machine. A 25' hose assembly is included, along with a stair tool, and a case of carpet cleaning chemicals. The solutions included will fill your extractor about 10 times, if you follow the mixing instructions on the bottle. The air mover is included to help you dry the carpeting after cleaning. This package will give you a great start into cleaning your facility. Take a look at our complete line of <a href=""http://www.cleanfreak.com/Qstore/c000134.htm"">carpet cleaning packages</a> for other options.<br><br><hr size=""1"">
<br><table width=""575"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""verdanaLinks""><tr>
<td width=""110"" align=""center""><a href=""http://www.cleanfreak.com/Qstore/p001208.htm"" title=""FREE stainless steel stair tool, worth $89.00""><img src=""http://www.cleanfreak.com/Qimages/stair_tool_free.jpg"" alt=""FREE stainless steel stair tool, worth $89.00"" width=""100"" height=""90""></a></td>&#13;
<td width=""465"">
<a href=""http://www.cleanfreak.com/Qstore/p001208.htm""><strong>Trusted Clean Stainless Steel Stair Tool</strong></a><br><em>(You receive 1 handheld stair tool with this package)</em><br><strong>Regular Price: $110.00<br><s>Sale Price: $92.00</s><br><font color=""#FF0000"">Your Package Price: FREE!</font></strong><br><br>The Trusted Clean stair tool is a lightweight stainless steel tool made of high quality components that are built to last. It can withstand high pressure output up to 1000 PSI.<br><strong><font color=""#FF00FF""><em>You receive a stainless steel stair tool for FREE, an $92.00 value!</em></font></strong>
</td>&#13;
</tr></table>
<br><hr size=""1"">
<br><table width=""550"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" class=""verdanaLinks"">
<tr><td align=""center""><strong><strong><font color=""#0000FF""><u>Movie Introduction to the Trusted Clean Extractors:</u></font></strong></strong></td></tr>
<tr>
<td align=""center"" height=""400"" background=""http://www.cleanfreak.com/Qimages/youtube_bg.gif""><iframe width=""480"" height=""360"" src=""http://www.youtube.com/embed/zdEbMs_tLUM?rel=0"" frameborder=""0"" allowfullscreen></iframe></td>&#13;
</tr>
</table>
<br><hr size=""1"">
<br><a href=""http://www.cleanfreak.com/Qstore/p001170.htm""><img src=""http://www.cleanfreak.com/Qstore/custom/trustedclean_12_gallon_heated_sm.jpg"" width=""100"" height=""118"" align=""right"" alt=""Trusted Clean heated box extractor"" title=""Trusted Clean heated box extractor""></a><strong><a href=""http://www.cleanfreak.com/Qstore/p001170.htm"">Trusted Clean Ultimate 12 Gallon Box Extractor with Heat</a></strong><br><em>(100 PSI pump, 150"" of water lift)</em><br>&#13;
· 25' hose &amp; 12"" 2-jet drag wand<br>&#13;
· 12 gallon solution / 11 gallon recovery<br>&#13;
· Heated carpet extractor<br><strong><font color=""#0000FF"">**Gold Medal Winning Extractor**</font><br>&#13;
Regular Price: $2442.00<br><font color=""#FF0000"">Sale Price: $1689.00</font></strong><br><br><u><strong>Optional Accessories:</strong></u><br>&#13;
· <a href=""http://www.cleanfreak.com/Qstore/carpet-cleaning-chemicals.htm"">Carpet Cleaning Chemicals</a><br>&#13;
· <a href=""http://www.cleanfreak.com/Qstore/c000214.htm"">Power Brushes</a><br>&#13;
· <a href=""http://www.cleanfreak.com/Qstore/c000167.htm"">Upholstery Tools &amp; Attachments</a><br><br>&#13;
This heated box extractor is the top-of-the-line carpet cleaning machine with an external heater. It comes standard with a circuit tester, so you can which outlets are running off of different circuits. This machine pulls so much power with the heater, vacuum motor, and pump running, that it has to be run off of two cords. If there are not two outlets available, the heater can be removed, and the machine can be used as a <a href=""http://www.cleanfreak.com/Qstore/p001148.htm"">non-heated extractor</a>. The unit also comes with a 25' solution &amp; recovery hose, and a 12"" dual jet drag wand.<br><br><table width=""560"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" class=""verdanaLinks""><tr>
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-heat-1.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Carpet extraction in use""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-1-sm.jpg"" width=""125"" height=""125"" alt=""Carpet extraction in use""><br><center><strong>View</strong></center></a></td>&#13;
<td width=""20""> </td>&#13;
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-heat-3.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Non-heated box extractor front view""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-3-sm.jpg"" width=""125"" height=""125"" alt=""Non-heated box extractor front view""><br><center><strong>View</strong></center></a></td>&#13;
<td width=""20""> </td>&#13;
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-heat-4.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Non-heated box extractor view of heater""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-4-sm.jpg"" width=""125"" height=""125"" alt=""Non-heated box extractor view of heater""><br><center><strong>View</strong></center></a></td>&#13;
<td width=""20""> </td>&#13;
<td width=""125""><a href=""javascript:void(0)"" onclick=""MM_openBrWindow('http://www.cleanfreak.com/machines/trustedclean-12-gallon-heat-5.htm','','scrollbars=no,resizable=no,width=354,height=413')"" title=""Carpet extractor side view""><img src=""http://www.cleanfreak.com/Qimages/trustedclean-12-gallon-5-sm.jpg"" width=""125"" height=""125"" alt=""Carpet extractor side view""><br><center><strong>View</strong></center></a></td>&#13;
</tr></table>
<br><table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""0"" class=""verdanaLinks"">
<tr><td colspan=""2""><font color=""#0000FF""><strong><u>Specifications:</u></strong></font></td></tr>
<tr bgcolor=""#FFFFCC"">
<td width=""27%""><strong>Maximum Heat:</strong></td>
<td width=""73%"">170 degrees</td>
</tr>
<tr>
<td><strong>Solution Tank:</strong></td>
<td>12 gallon</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Recovery Tank:</strong></td>
<td>11 gallon</td>
</tr>
<tr>
<td><strong>Solution Pressure:</strong></td>
<td>100 PSI</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Vacuum Motors:</strong></td>
<td>Dual high performance 2-stage</td>
</tr>
<tr>
<td><strong>Water Lift:</strong></td>
<td>150""</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Dimensions:</strong></td>
<td>35"" H x 31"" L x 18"" W</td>
</tr>
<tr>
<td><strong>Weight:</strong></td>
<td>78 lbs.</td>
</tr>
<tr bgcolor=""#FFFFCC"">
<td><strong>Warranty:</strong></td>
<td>Lifetime on tanks &amp; heating element, 2 years on parts &amp; labor</td>
</tr>
</table>
<br><hr size=""1"">
<br><table width=""575"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""verdanaLinks""><tr>
<td width=""110"" align=""center""><a href=""http://www.cleanfreak.com/Qstore/p000862.htm"" title=""3-Speed air mover &amp; carpet dryer""><img src=""http://www.cleanfreak.com/Qstore/custom/tc_3_speed_air_mover_sm.jpg"" alt=""3-Speed air mover &amp; carpet dryer"" width=""100"" height=""97""></a></td>&#13;
<td width=""465"">
<strong><a href=""http://www.cleanfreak.com/Qstore/p000862.htm"">3-Speed Stackable Air Mover</a></strong><br><em>(You receive 1 stackable air mover with this package)</em><br><strong>Regular Price: $243.00<br><font color=""#FF0000"">Sale Price: $167.50</font></strong><br><br>This 3-speed air mover is a must for any carpet cleaning professional looking to improve their carpet cleaning dry times. To ensure that your customers' carpet will be dry when they return, having at least a single air mover going, if not more, will dramatically decrease that drying time.</td>&#13;
</tr></table>
<br><hr size=""1"">
<br><table width=""575"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""verdanaLinks""><tr>
<td width=""110"" align=""center""><a href=""http://www.cleanfreak.com/Qstore/p001159.htm"" title=""Assorted carpet cleaning chemical package""><img src=""http://www.cleanfreak.com/Qstore/custom/carpet_chem_package1_sm.jpg"" alt=""Assorted carpet cleaning chemical package"" width=""100"" height=""42""></a></td>&#13;
<td width=""465"">
<strong><a href=""http://www.cleanfreak.com/Qstore/p001159.htm"">Assorted Carpet Cleaning Extraction Chemical Package</a></strong><br><em>(You receive 1 case of assorted carpet chemicals with this package)</em><br><strong>Regular Price: $84.95<br><font color=""#FF0000"">Sale Price: $65.95</font></strong><br><br>This package includes all the chemicals you will need to fill your 12 gallon extractor, and clean a typical carpeted area about 10 times. A <a href=""http://www.cleanfreak.com/Qstore/p000279.htm"">deep cleaning extraction detergent</a>, a <a href=""http://www.cleanfreak.com/Qstore/p000245.htm"">deodorizer</a>, an <a href=""http://www.cleanfreak.com/Qstore/p000270.htm"">enzyme</a>, a <a href=""http://www.cleanfreak.com/Qstore/p001584.htm"">defoamer</a> and an <a href=""http://www.cleanfreak.com/Qstore/p000123.htm"">aerosol spotter</a> are all included in this package. A great package for the carpet cleaning professional!</td>&#13;
</tr></table>"
